1_attr_female,2_attr_male,3_attr_female_0,4_attr_female_1,5_attr_male_0,6_attr_male_1,7_attr_female_0,8_attr_female_1,9_attr_female_2,10_attr_male_0,11_attr_male_1,12_attr_male_2,13_attr_female_0,14_attr_female_1,15_attr_female_2,16_attr_female_3,17_attr_male_0,18_attr_male_1,19_attr_male_2,20_attr_male_3,21_attr_female_0,22_attr_female_1,23_attr_female_2,24_attr_female_3,25_attr_female_4,26_attr_male_0,27_attr_male_1,28_attr_male_2,29_attr_male_3,30_attr_male_4,categories
0.519114,0.480646,0.248715,0.283104,0.257802,0.210257,0.195644,0.181318,0.154621,0.127967,0.18128,0.159085,0.147021,0.114477,0.13927,0.133648,0.139621,0.127202,0.110723,0.087972,0.113809,0.119175,0.103752,0.088114,0.105702,0.084825,0.114038,0.097528,0.066134,0.10687,female
0.509974,0.489726,0.26265,0.254887,0.251998,0.230316,0.167179,0.180648,0.17044,0.144378,0.171179,0.166074,0.135901,0.128285,0.113971,0.138397,0.130253,0.130739,0.119918,0.102457,0.112366,0.106158,0.11056,0.099964,0.085662,0.094043,0.104057,0.102289,0.077482,0.107352,female
0.498519,0.501095,0.260686,0.243326,0.252748,0.243053,0.15852,0.176131,0.171486,0.153104,0.169025,0.17161,0.129671,0.129005,0.109138,0.136632,0.127454,0.134071,0.125171,0.108759,0.109413,0.100745,0.110805,0.100361,0.081371,0.097937,0.100833,0.10637,0.083526,0.108558,female
0.504918,0.49496,0.258892,0.256311,0.260657,0.224077,0.168435,0.181998,0.163493,0.13882,0.178464,0.168748,0.138021,0.120262,0.115206,0.13923,0.136144,0.135898,0.117515,0.09769,0.113845,0.107978,0.110356,0.091875,0.08514,0.091239,0.108611,0.104415,0.074108,0.112404,female
0.482623,0.517083,0.254074,0.231551,0.252318,0.261916,0.149792,0.16902,0.168594,0.172262,0.165533,0.174708,0.122596,0.126737,0.103169,0.131378,0.123634,0.134122,0.127583,0.130711,0.104236,0.094585,0.10619,0.099994,0.077705,0.101347,0.097152,0.106987,0.105038,0.106712,female
0.516527,0.483416,0.247506,0.283715,0.263902,0.204848,0.194514,0.182831,0.151724,0.124501,0.18706,0.159351,0.151055,0.110518,0.133411,0.134898,0.14663,0.12898,0.109124,0.08537,0.115324,0.122395,0.103518,0.084421,0.098838,0.083142,0.120762,0.097459,0.064551,0.109579,female
0.498608,0.501157,0.260408,0.243723,0.253407,0.242349,0.157771,0.177352,0.170466,0.152146,0.169886,0.172303,0.131323,0.128558,0.106441,0.137041,0.128767,0.134465,0.126497,0.106846,0.110267,0.101319,0.110625,0.100572,0.079053,0.099516,0.101893,0.106791,0.081,0.108913,female
0.486687,0.513135,0.2506,0.237127,0.249256,0.262932,0.155972,0.165556,0.170483,0.171559,0.164514,0.171863,0.12468,0.13137,0.106829,0.127395,0.124492,0.130439,0.132705,0.122047,0.101965,0.098,0.103126,0.105897,0.08161,0.106059,0.098987,0.105559,0.094846,0.103917,female
0.447717,0.551591,0.255564,0.176678,0.225234,0.342215,0.1067,0.141755,0.197226,0.239732,0.13261,0.181784,0.090347,0.15631,0.073715,0.11723,0.094831,0.127196,0.158325,0.181895,0.083756,0.066581,0.103349,0.133314,0.057529,0.138463,0.071218,0.111961,0.140917,0.092791,female
0.505809,0.494078,0.261247,0.250705,0.2527,0.235292,0.163657,0.179561,0.169348,0.147471,0.171787,0.168138,0.133987,0.12764,0.112588,0.137413,0.130975,0.131311,0.123166,0.102891,0.11146,0.103751,0.109771,0.099571,0.085498,0.096295,0.104521,0.103812,0.077878,0.107418,female
0.496264,0.503377,0.262254,0.238322,0.250875,0.248376,0.154049,0.175318,0.173551,0.157881,0.166566,0.172519,0.127213,0.13083,0.105374,0.137032,0.125311,0.13406,0.128025,0.112062,0.108536,0.098057,0.111359,0.102879,0.07864,0.101068,0.098563,0.107148,0.085893,0.107782,female
0.504652,0.495097,0.263332,0.246885,0.250532,0.239128,0.160309,0.179247,0.172181,0.150191,0.168455,0.169532,0.132446,0.129524,0.108749,0.138274,0.127728,0.131893,0.123827,0.107494,0.111385,0.102557,0.111166,0.101176,0.080756,0.096602,0.101337,0.104883,0.082877,0.107205,female
0.516619,0.483243,0.249967,0.279961,0.260694,0.209309,0.192198,0.181999,0.154668,0.127618,0.183481,0.159987,0.146853,0.114077,0.135785,0.13467,0.141612,0.128956,0.110076,0.087935,0.11449,0.119662,0.104401,0.08742,0.100082,0.084539,0.116055,0.098128,0.066522,0.108671,female
0.509105,0.49039,0.268914,0.248185,0.252498,0.230155,0.162662,0.183042,0.172548,0.141769,0.169784,0.17002,0.132461,0.12866,0.112911,0.143175,0.12836,0.134279,0.120664,0.099351,0.113553,0.102979,0.115375,0.09769,0.085068,0.093575,0.100929,0.105534,0.075926,0.109258,female
0.510056,0.489771,0.253067,0.269352,0.261326,0.216166,0.181104,0.182013,0.156718,0.136258,0.184578,0.159265,0.145237,0.116717,0.122535,0.136664,0.144671,0.128872,0.114735,0.090515,0.115575,0.116819,0.105221,0.090143,0.086892,0.090952,0.119076,0.098299,0.067908,0.109073,female
0.502306,0.497382,0.24882,0.259948,0.254588,0.236487,0.17768,0.170004,0.163279,0.150009,0.172817,0.166111,0.128363,0.122949,0.133637,0.129655,0.130462,0.128716,0.121999,0.10415,0.104991,0.101188,0.104074,0.0964,0.107786,0.095775,0.104401,0.102295,0.078554,0.104482,female
0.528345,0.471377,0.24243,0.299176,0.254231,0.204018,0.213984,0.177391,0.150844,0.12526,0.179207,0.153217,0.148672,0.111227,0.15783,0.129013,0.137958,0.121644,0.106111,0.087473,0.11016,0.124951,0.09977,0.085952,0.122061,0.081513,0.113794,0.092764,0.066867,0.10211,female
0.493346,0.506439,0.258974,0.23889,0.253246,0.248789,0.155045,0.173762,0.170771,0.159206,0.170127,0.171028,0.128157,0.129726,0.104364,0.134728,0.129092,0.132921,0.127989,0.112975,0.107772,0.099674,0.108727,0.10263,0.07655,0.101911,0.102356,0.105657,0.08646,0.108225,female
0.478901,0.520769,0.25872,0.217303,0.243419,0.280408,0.138223,0.163599,0.180182,0.184174,0.156693,0.177031,0.114655,0.1392,0.094459,0.129397,0.116206,0.132162,0.139754,0.134092,0.09956,0.087665,0.108314,0.11192,0.071914,0.113582,0.090297,0.109506,0.103604,0.103578,female
0.464247,0.53533,0.248024,0.211653,0.246116,0.294023,0.136749,0.15726,0.176594,0.181203,0.157844,0.190215,0.111871,0.136522,0.090849,0.123489,0.116307,0.133806,0.150856,0.136206,0.094985,0.086602,0.104498,0.109505,0.066705,0.126133,0.090596,0.112133,0.105182,0.103584,female
0.532021,0.467833,0.222828,0.327687,0.262592,0.186819,0.248492,0.168804,0.133889,0.114099,0.191161,0.143502,0.15173,0.098191,0.19424,0.118588,0.148076,0.114977,0.097569,0.076593,0.104687,0.138534,0.08984,0.074487,0.146651,0.074842,0.127277,0.08601,0.058936,0.098707,female
0.51789,0.48195,0.246775,0.284997,0.261294,0.206847,0.197984,0.180809,0.151977,0.125934,0.185352,0.157885,0.148985,0.112065,0.139126,0.133104,0.144046,0.127388,0.108981,0.086259,0.113628,0.122346,0.102824,0.085669,0.103665,0.08369,0.11818,0.096688,0.064927,0.108344,female
0.478917,0.520883,0.245689,0.233039,0.245953,0.275231,0.154754,0.161493,0.167215,0.182222,0.162916,0.171342,0.121014,0.127109,0.108458,0.123902,0.122803,0.127657,0.13243,0.136583,0.099069,0.096124,0.10063,0.102463,0.08145,0.107386,0.097827,0.104891,0.108329,0.101795,female
0.449318,0.550097,0.251138,0.181073,0.218737,0.348809,0.111648,0.140937,0.194522,0.243118,0.132466,0.177163,0.09402,0.157203,0.074869,0.114217,0.096085,0.120875,0.165104,0.177514,0.084133,0.071067,0.098998,0.139423,0.055881,0.143335,0.073464,0.108518,0.134538,0.090553,female
0.493675,0.506033,0.257865,0.240451,0.254195,0.247347,0.156095,0.174329,0.170337,0.155246,0.169665,0.174229,0.128779,0.128838,0.106045,0.134763,0.128178,0.135028,0.128009,0.110282,0.108008,0.099647,0.109174,0.101132,0.078914,0.099999,0.101329,0.108077,0.084808,0.10885,female
