1_attr_female,2_attr_male,3_attr_female_0,4_attr_female_1,5_attr_male_0,6_attr_male_1,7_attr_female_0,8_attr_female_1,9_attr_female_2,10_attr_male_0,11_attr_male_1,12_attr_male_2,13_attr_female_0,14_attr_female_1,15_attr_female_2,16_attr_female_3,17_attr_male_0,18_attr_male_1,19_attr_male_2,20_attr_male_3,21_attr_female_0,22_attr_female_1,23_attr_female_2,24_attr_female_3,25_attr_female_4,26_attr_male_0,27_attr_male_1,28_attr_male_2,29_attr_male_3,30_attr_male_4,categories
0.505927,0.493901,0.263306,0.248436,0.250017,0.238158,0.161485,0.180848,0.169865,0.150338,0.168961,0.16844,0.133628,0.127492,0.109235,0.13964,0.128275,0.131514,0.123265,0.106905,0.113406,0.103638,0.110451,0.099133,0.081281,0.097085,0.102324,0.104099,0.081352,0.107192,female
0.52042,0.479428,0.25144,0.283657,0.261435,0.20339,0.194222,0.185818,0.153158,0.12186,0.185464,0.159427,0.151647,0.112269,0.134239,0.137134,0.144363,0.12952,0.108883,0.081903,0.117604,0.122917,0.105496,0.085202,0.098307,0.082744,0.118261,0.098011,0.061242,0.11018,female
0.503331,0.496369,0.254943,0.257656,0.25901,0.228239,0.172259,0.178639,0.162422,0.140924,0.176736,0.168913,0.136893,0.119493,0.120566,0.136491,0.134187,0.134509,0.118343,0.099433,0.110684,0.108684,0.109685,0.092349,0.088562,0.090828,0.107727,0.103717,0.076838,0.11086,female
0.494386,0.505121,0.25997,0.236884,0.248124,0.254771,0.15633,0.166796,0.178752,0.165974,0.163467,0.168527,0.120245,0.13069,0.115589,0.133049,0.122341,0.129654,0.127158,0.121142,0.102127,0.093791,0.109844,0.102784,0.091297,0.101396,0.09576,0.10411,0.095087,0.103702,female
0.505314,0.494522,0.262432,0.251722,0.257614,0.228151,0.165062,0.181866,0.1666,0.141804,0.175813,0.168798,0.135598,0.1238,0.112049,0.140363,0.133704,0.134866,0.11921,0.100363,0.113862,0.105754,0.1113,0.093646,0.083863,0.093182,0.106465,0.104553,0.076117,0.111222,female
0.516625,0.483208,0.252518,0.276421,0.258911,0.212066,0.187154,0.183856,0.156743,0.129226,0.181605,0.161357,0.147534,0.115471,0.128891,0.136631,0.140514,0.129669,0.112358,0.088885,0.116358,0.118563,0.105981,0.088649,0.094274,0.086325,0.11462,0.099124,0.06675,0.109317,female
0.519644,0.480284,0.254184,0.276891,0.255059,0.21383,0.188299,0.184783,0.15619,0.132344,0.179047,0.159313,0.148534,0.116261,0.128122,0.136877,0.139414,0.126767,0.111427,0.092579,0.115857,0.116802,0.104532,0.089106,0.101018,0.085232,0.113294,0.096919,0.071205,0.106022,female
0.505865,0.493738,0.262711,0.252031,0.256531,0.228525,0.166032,0.180362,0.169424,0.14085,0.175776,0.167416,0.134337,0.127442,0.114623,0.138463,0.135693,0.131239,0.119618,0.098475,0.112154,0.105094,0.109719,0.100149,0.084541,0.092809,0.110733,0.10394,0.074383,0.10639,female
0.519781,0.480056,0.256836,0.274148,0.254801,0.214135,0.1847,0.185599,0.159829,0.130433,0.178076,0.161309,0.146654,0.118731,0.127433,0.138372,0.137527,0.128636,0.113659,0.088945,0.116739,0.116538,0.107361,0.091165,0.095895,0.0876,0.111689,0.099288,0.066216,0.107474,female
0.50692,0.492831,0.257219,0.257949,0.254819,0.229891,0.171031,0.179623,0.165178,0.142854,0.174571,0.166662,0.137364,0.123361,0.118038,0.136467,0.133449,0.131219,0.120057,0.099982,0.112368,0.108057,0.108163,0.095803,0.08816,0.093572,0.107162,0.102795,0.075709,0.108161,female
0.542273,0.457341,0.219106,0.338714,0.252158,0.189819,0.262953,0.162994,0.134334,0.116809,0.183212,0.139574,0.142121,0.097371,0.21886,0.115689,0.139915,0.11044,0.096013,0.079525,0.099984,0.123996,0.087696,0.074694,0.185591,0.072537,0.11723,0.083142,0.060752,0.094334,female
0.507201,0.492403,0.266079,0.249252,0.254123,0.230347,0.16199,0.182501,0.172082,0.141512,0.172399,0.169375,0.133909,0.128798,0.110617,0.14155,0.131132,0.133608,0.121799,0.098476,0.113709,0.103378,0.113775,0.098906,0.083044,0.094529,0.103923,0.105073,0.074045,0.109526,female
