1_attr_female,2_attr_male,3_attr_female_0,4_attr_female_1,5_attr_male_0,6_attr_male_1,7_attr_female_0,8_attr_female_1,9_attr_female_2,10_attr_male_0,11_attr_male_1,12_attr_male_2,13_attr_female_0,14_attr_female_1,15_attr_female_2,16_attr_female_3,17_attr_male_0,18_attr_male_1,19_attr_male_2,20_attr_male_3,21_attr_female_0,22_attr_female_1,23_attr_female_2,24_attr_female_3,25_attr_female_4,26_attr_male_0,27_attr_male_1,28_attr_male_2,29_attr_male_3,30_attr_male_4,categories
0.476085,0.523327,0.222079,0.251185,0.243414,0.283041,0.153923,0.180779,0.148859,0.173193,0.156561,0.186512,0.111176,0.139319,0.110017,0.120721,0.116698,0.130418,0.127837,0.143685,0.092668,0.087502,0.115839,0.088341,0.098984,0.104315,0.104862,0.098383,0.116789,0.092215,female
0.479712,0.51936,0.219901,0.250587,0.22506,0.304042,0.149588,0.184368,0.153276,0.167042,0.144268,0.201202,0.108082,0.146407,0.117788,0.117019,0.107347,0.136458,0.118657,0.14805,0.093835,0.091502,0.124922,0.08917,0.092048,0.100451,0.112045,0.089673,0.121825,0.084366,female
0.487748,0.51169,0.231047,0.253031,0.234718,0.280963,0.157633,0.182004,0.155373,0.166494,0.153908,0.184439,0.116357,0.140921,0.114885,0.122138,0.114684,0.128,0.123099,0.139808,0.096195,0.092752,0.116291,0.089221,0.100821,0.100719,0.103052,0.096019,0.114386,0.090461,female
0.481606,0.517992,0.224858,0.255631,0.246484,0.272838,0.164143,0.176864,0.145118,0.177857,0.158975,0.176917,0.118816,0.134797,0.100112,0.129976,0.119169,0.140091,0.133823,0.123119,0.101434,0.091831,0.10921,0.075058,0.107609,0.111382,0.11271,0.104473,0.092865,0.093348,female
0.478524,0.520701,0.230317,0.246217,0.244566,0.278552,0.154712,0.177859,0.156584,0.175464,0.157805,0.177361,0.115382,0.137585,0.118203,0.119317,0.117142,0.125308,0.131766,0.135137,0.093924,0.092684,0.117009,0.094026,0.095809,0.104683,0.100372,0.099984,0.109177,0.092216,female
0.4787,0.520785,0.228332,0.248833,0.246225,0.27638,0.158389,0.175898,0.151403,0.171748,0.161266,0.18116,0.117467,0.134759,0.109023,0.123277,0.121011,0.130166,0.129213,0.13498,0.096857,0.092642,0.109296,0.084584,0.101025,0.103926,0.104598,0.102014,0.109754,0.095224,female
0.474217,0.524728,0.203575,0.257699,0.220335,0.317958,0.143585,0.206647,0.134586,0.170583,0.138477,0.205863,0.099198,0.168642,0.104027,0.113238,0.100516,0.131514,0.120122,0.162563,0.083995,0.078919,0.143275,0.086114,0.097022,0.100923,0.107436,0.087875,0.137084,0.077223,female
0.484687,0.514949,0.229872,0.252799,0.242432,0.27473,0.163426,0.177566,0.149514,0.174304,0.158304,0.176777,0.120598,0.13747,0.10619,0.126219,0.118392,0.137801,0.13048,0.122769,0.101517,0.092743,0.112806,0.081849,0.103811,0.107689,0.111811,0.102428,0.092389,0.092893,female
0.49036,0.509223,0.240471,0.254482,0.25349,0.251358,0.171395,0.168234,0.15825,0.173093,0.169481,0.159416,0.127088,0.126328,0.111454,0.132239,0.128058,0.126398,0.133144,0.115189,0.106199,0.098749,0.099687,0.086201,0.106076,0.106126,0.099463,0.107322,0.089045,0.10105,female
0.468375,0.531038,0.215914,0.246035,0.242024,0.295769,0.151732,0.179431,0.143064,0.176168,0.157291,0.192152,0.110124,0.141067,0.10468,0.119265,0.118671,0.142464,0.126968,0.136644,0.092599,0.087402,0.118657,0.082284,0.099039,0.106571,0.117051,0.103807,0.104893,0.087602,female
0.502573,0.497045,0.261545,0.248538,0.254321,0.235419,0.171161,0.163103,0.181507,0.168022,0.174782,0.141309,0.133107,0.124619,0.129845,0.128378,0.131376,0.119248,0.127898,0.105449,0.107098,0.109097,0.091102,0.100526,0.105167,0.101997,0.093685,0.108126,0.076142,0.106993,female
0.50988,0.489801,0.2682,0.249405,0.250897,0.231355,0.174963,0.161608,0.184177,0.162603,0.172569,0.143987,0.13979,0.120037,0.131369,0.131086,0.132446,0.11423,0.127425,0.103546,0.10954,0.113144,0.093564,0.099179,0.102597,0.099015,0.087807,0.104042,0.083112,0.107945,female
0.494199,0.505226,0.24078,0.256072,0.248118,0.254773,0.16882,0.173878,0.161366,0.172431,0.165435,0.157904,0.124696,0.13328,0.116902,0.130058,0.124435,0.125236,0.130725,0.114544,0.103814,0.098612,0.107191,0.090497,0.104436,0.105861,0.09679,0.103464,0.090564,0.098674,female
0.442457,0.556397,0.19161,0.228258,0.20653,0.373122,0.11649,0.193243,0.137347,0.168453,0.12334,0.260846,0.087517,0.161175,0.104215,0.092049,0.087349,0.146957,0.113173,0.207365,0.067069,0.075107,0.144955,0.085505,0.079614,0.095617,0.129829,0.080138,0.172419,0.069595,female
0.488358,0.511064,0.228725,0.25788,0.241194,0.271952,0.161759,0.183231,0.15283,0.173306,0.157362,0.171359,0.116453,0.141158,0.114083,0.126672,0.117446,0.124139,0.130254,0.129683,0.097587,0.09125,0.114223,0.090649,0.104654,0.104595,0.097668,0.100431,0.107163,0.091694,female
0.484148,0.515245,0.232627,0.250047,0.241242,0.275825,0.15911,0.178898,0.156625,0.169915,0.159896,0.175399,0.119115,0.139864,0.114792,0.122472,0.120592,0.130459,0.125916,0.126674,0.097186,0.09353,0.116715,0.092368,0.099214,0.102358,0.103945,0.098419,0.100422,0.095754,female
